name,per,calories,protein,fat,carbs,per_unit_grams,count_unit
# === FISH & SEAFOOD (魚介類) - Per 100g ===
ビワ,100g,51,0.4,0.2,12,,
Yuzu,100g,41,0.8,0.2,9,,
柚子,100g,41,0.8,0.2,9,,
ゆず,100g,41,0.8,0.2,9,,
ユズ,100g,41,0.8,0.2,9,,
Nashi Pear,100g,54,0.4,0.1,13,,
梨,100g,54,0.4,0.1,13,,
なし,100g,54,0.4,0.1,13,,
ナシ,100g,54,0.4,0.1,13,,
Asian Pear,100g,54,0.4,0.1,13,,
Plum,100g,48,0.7,0.1,11,,
梅,100g,48,0.7,0.1,11,,
うめ,100g,48,0.7,0.1,11,,
ウメ,100g,48,0.7,0.1,11,,
Prunus mume,100g,48,0.7,0.1,11,,
Apricot,100g,51,0.5,0.1,12,,
あんず,100g,51,0.5,0.1,12,,
アンズ,100g,51,0.5,0.1,12,,
Fig,100g,82,0.8,0.3,19,,
いちじく,100g,82,0.8,0.3,19,,
イチジク,100g,82,0.8,0.3,19,,
Blueberry,100g,62,0.7,0.3,14,,
ブルーベリー,100g,62,0.7,0.3,14,,
ぶるーべりー,100g,62,0.7,0.3,14,,
Raspberry,100g,58,1.2,0.6,12,,
